sdd_hhid,sdd_rural,t0_region,t0_district,hh_c14,hh_c15
0710-003-001,RURAL,MWANZA,MAGU,ON FOOT,15.0
0710-003-001,RURAL,MWANZA,MAGU,ON FOOT,15.0
0710-003-001,RURAL,MWANZA,MAGU,ON FOOT,15.0
0715-001-001,URBAN,MWANZA,MAGU,ON FOOT,40.0
0715-001-001,URBAN,MWANZA,MAGU,ON FOOT,8.0
0715-004-001,URBAN,SHINYANGA,KAHAMA RURAL,ON FOOT,5.0
0717-001-001,RURAL,GEITA,GEITA,ON FOOT,3.0
0717-001-001,RURAL,GEITA,GEITA,ON FOOT,45.0
0718-001-001,RURAL,MWANZA,SENGEREMA,ON FOOT,10.0
0718-001-001,RURAL,MWANZA,SENGEREMA,ON FOOT,10.0
0718-001-001,RURAL,MWANZA,SENGEREMA,ON FOOT,10.0
0718-001-001,RURAL,MWANZA,SENGEREMA,ON FOOT,10.0
0718-010-001,RURAL,GEITA,CHATO,ON FOOT,15.0
0718-010-001,RURAL,GEITA,CHATO,ON FOOT,15.0
0718-010-001,RURAL,GEITA,CHATO,ON FOOT,15.0
0718-010-001,RURAL,GEITA,CHATO,ON FOOT,15.0
0719-001-001,URBAN,GEITA,GEITA,ON FOOT,5.0
0720-001-001,RURAL,GEITA,GEITA,ON FOOT,10.0
0720-001-001,RURAL,GEITA,GEITA,ON FOOT,10.0
0720-001-001,RURAL,GEITA,GEITA,ON FOOT,10.0
0720-001-001,RURAL,GEITA,GEITA,ON FOOT,10.0
0720-001-001,RURAL,GEITA,GEITA,ON FOOT,10.0
0720-015-001,RURAL,GEITA,GEITA,ON FOOT,30.0
0721-002-001,URBAN,GEITA,GEITA,ON FOOT,10.0
0721-002-001,URBAN,GEITA,GEITA,ON FOOT,10.0
0721-002-001,URBAN,GEITA,GEITA,ON FOOT,10.0
0722-001-001,RURAL,GEITA,GEITA,ON FOOT,30.0
0722-001-001,RURAL,GEITA,GEITA,ON FOOT,45.0
0722-001-001,RURAL,GEITA,GEITA,ON FOOT,60.0
0723-001-001,RURAL,GEITA,GEITA,ON FOOT,60.0
0725-001-001,RURAL,GEITA,GEITA,BY BIKE,60.0
0725-001-001,RURAL,GEITA,GEITA,ON FOOT,8.0
0725-001-001,RURAL,GEITA,GEITA,ON FOOT,8.0
0726-001-001,RURAL,GEITA,GEITA,ON FOOT,10.0
0726-004-001,RURAL,GEITA,GEITA,ON FOOT,10.0
0727-001-001,RURAL,GEITA,GEITA,ON FOOT,120.0
0727-001-001,RURAL,GEITA,GEITA,ON FOOT,10.0
0729-001-002,RURAL,GEITA,GEITA,ON FOOT,60.0
0729-001-002,RURAL,GEITA,GEITA,ON FOOT,60.0
0729-001-002,RURAL,GEITA,GEITA,ON FOOT,60.0
0729-001-002,RURAL,GEITA,GEITA,ON FOOT,60.0
0729-001-002,RURAL,GEITA,GEITA,ON FOOT,60.0
0729-001-002,RURAL,GEITA,GEITA,ON FOOT,60.0
0729-003-001,RURAL,GEITA,GEITA,ON FOOT,60.0
0729-003-001,RURAL,GEITA,GEITA,ON FOOT,60.0
0729-004-001,RURAL,GEITA,GEITA,ON FOOT,60.0
0729-004-001,RURAL,GEITA,GEITA,ON FOOT,60.0
0729-004-001,RURAL,GEITA,GEITA,ON FOOT,60.0
0731-001-001,RURAL,GEITA,GEITA,ON FOOT,60.0
0732-001-001,RURAL,GEITA,GEITA,ON FOOT,120.0
0733-001-001,RURAL,GEITA,GEITA,ON FOOT,5.0
0733-001-001,RURAL,GEITA,GEITA,ON FOOT,5.0
0733-001-001,RURAL,GEITA,GEITA,ON FOOT,60.0
0733-001-001,RURAL,GEITA,GEITA,ON FOOT,60.0
0733-001-001,RURAL,GEITA,GEITA,ON FOOT,5.0
0734-001-001,RURAL,GEITA,GEITA,ON FOOT,10.0
0734-001-001,RURAL,GEITA,GEITA,ON FOOT,10.0
0734-001-001,RURAL,GEITA,GEITA,ON FOOT,10.0
0734-001-001,RURAL,GEITA,GEITA,ON FOOT,15.0
0736-003-001,RURAL,GEITA,GEITA,BY BIKE,60.0
0736-003-001,RURAL,GEITA,GEITA,BY BIKE,90.0
0736-003-001,RURAL,GEITA,GEITA,ON FOOT,30.0
0736-003-001,RURAL,GEITA,GEITA,ON FOOT,30.0
0737-001-001,RURAL,MARA,BUTIAMA,ON FOOT,15.0
0737-001-001,RURAL,MARA,BUTIAMA,ON FOOT,15.0
0737-001-001,RURAL,MARA,BUTIAMA,ON FOOT,15.0
0738-001-001,RURAL,GEITA,GEITA,ON FOOT,10.0
0738-001-001,RURAL,GEITA,GEITA,ON FOOT,10.0
0739-001-001,RURAL,MARA,BUTIAMA,ON FOOT,10.0
0739-001-001,RURAL,MARA,BUTIAMA,ON FOOT,10.0
0740-001-001,RURAL,MARA,BUTIAMA,ON FOOT,30.0
0740-001-001,RURAL,MARA,BUTIAMA,ON FOOT,30.0
0741-001-001,RURAL,MARA,BUTIAMA,ON FOOT,20.0
0741-001-001,RURAL,MARA,BUTIAMA,ON FOOT,20.0
0742-001-001,RURAL,MARA,BUTIAMA,ON FOOT,5.0
0742-001-001,RURAL,MARA,BUTIAMA,ON FOOT,5.0
0742-001-001,RURAL,MARA,BUTIAMA,ON FOOT,15.0
0742-001-001,RURAL,MARA,BUTIAMA,ON FOOT,10.0
0742-006-001,RURAL,MARA,MUSOMA URBAN,ON FOOT,15.0
0743-001-001,RURAL,KAGERA,BUKOBA URBAN,ON FOOT,1.0
0744-001-001,RURAL,MARA,BUTIAMA,ON FOOT,2.0
0744-001-001,RURAL,MARA,BUTIAMA,ON FOOT,30.0
0744-005-002,RURAL,MARA,BUTIAMA,ON FOOT,60.0
0744-005-002,RURAL,MARA,BUTIAMA,ON FOOT,60.0
0744-005-002,RURAL,MARA,BUTIAMA,ON FOOT,60.0
0745-001-001,RURAL,MARA,BUTIAMA,ON FOOT,15.0
0745-001-001,RURAL,MARA,BUTIAMA,ON FOOT,15.0
0745-001-001,RURAL,MARA,BUTIAMA,ON FOOT,15.0
0745-001-001,RURAL,MARA,BUTIAMA,ON FOOT,15.0
0745-001-001,RURAL,MARA,BUTIAMA,ON FOOT,15.0
0746-001-001,RURAL,MARA,BUTIAMA,ON FOOT,15.0
0746-001-001,RURAL,MARA,BUTIAMA,ON FOOT,15.0
0746-001-001,RURAL,MARA,BUTIAMA,ON FOOT,15.0
0747-001-001,RURAL,MARA,BUTIAMA,ON FOOT,45.0
0748-001-001,RURAL,MARA,BUTIAMA,ON FOOT,10.0
0748-001-001,RURAL,MARA,BUTIAMA,ON FOOT,10.0
0748-006-001,RURAL,MARA,BUTIAMA,ON FOOT,60.0
0748-006-001,RURAL,MARA,BUTIAMA,ON FOOT,60.0
0748-006-001,RURAL,MARA,BUTIAMA,ON FOOT,60.0
0749-001-001,URBAN,GEITA,BUKOMBE,ON FOOT,15.0
0749-001-001,URBAN,GEITA,BUKOMBE,ON FOOT,15.0
0749-002-001,URBAN,GEITA,BUKOMBE,ON FOOT,15.0
0749-003-001,RURAL,GEITA,MBOGWE,ON FOOT,15.0
0751-001-001,RURAL,GEITA,NYANG'HWALE,ON FOOT,60.0
0751-001-001,RURAL,GEITA,NYANG'HWALE,ON FOOT,60.0
0752-001-001,RURAL,MWANZA,MISUNGWI,ON FOOT,90.0
0752-001-001,RURAL,MWANZA,MISUNGWI,ON FOOT,90.0
0752-001-001,RURAL,MWANZA,MISUNGWI,ON FOOT,90.0
0752-001-001,RURAL,MWANZA,MISUNGWI,ON FOOT,90.0
0752-001-001,RURAL,MWANZA,MISUNGWI,ON FOOT,90.0
0752-001-001,RURAL,MWANZA,MISUNGWI,ON FOOT,90.0
0752-001-001,RURAL,MWANZA,MISUNGWI,ON FOOT,90.0
0752-001-001,RURAL,MWANZA,MISUNGWI,ON FOOT,90.0
0752-004-001,RURAL,MWANZA,MISUNGWI,ON FOOT,60.0
0752-004-001,RURAL,MWANZA,MISUNGWI,ON FOOT,25.0
0752-004-001,RURAL,MWANZA,MISUNGWI,ON FOOT,25.0
0752-004-001,RURAL,MWANZA,MISUNGWI,ON FOOT,30.0
0752-004-001,RURAL,MWANZA,MISUNGWI,ON FOOT,60.0
0752-004-001,RURAL,MWANZA,MISUNGWI,ON FOOT,25.0
0752-004-001,RURAL,MWANZA,MISUNGWI,ON FOOT,25.0
0752-004-001,RURAL,MWANZA,MISUNGWI,ON FOOT,25.0
0752-021-001,RURAL,MWANZA,MISUNGWI,ON FOOT,60.0
0753-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,3.0
0753-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,5.0
0754-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,15.0
0754-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,30.0
0754-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,10.0
0754-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,10.0
0755-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,15.0
0755-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,15.0
0755-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,15.0
0756-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,30.0
0756-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,30.0
0757-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,60.0
0757-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,30.0
0757-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,60.0
0757-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,60.0
0758-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,15.0
0758-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,30.0
0759-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,50.0
0759-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,50.0
0759-001-001,RURAL,MANYARA,SIMANJIRO,ON FOOT,60.0
0761-001-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,30.0
0761-001-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,30.0
0762-001-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,5.0
0762-001-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,5.0
0762-001-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,5.0
0769-001-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,12.0
0770-001-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,45.0
0771-001-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,3.0
0771-001-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,4.0
0771-001-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,5.0
0771-001-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,5.0
0771-001-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,6.0
0772-002-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,5.0
0772-002-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,5.0
0773-001-001,RURAL,KASKAZINI UNGUJA,KASKAZINI â€˜Aâ€™,ON FOOT,15.0
0775-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,5.0
0775-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,5.0
0775-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,5.0
0776-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,5.0
0776-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,3.0
0776-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,5.0
0776-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,5.0
0777-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,5.0
0778-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,5.0
0778-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,5.0
0778-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,5.0
0778-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,5.0
0780-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,30.0
0780-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,30.0
0780-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,30.0
0781-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,30.0
0783-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,20.0
0783-001-001,RURAL,KUSINI UNGUJA,KATI,ON FOOT,5.0
0785-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,BY BIKE,25.0
0785-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,BY BIKE,25.0
0786-002-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,10.0
0786-002-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,10.0
0786-002-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,10.0
0786-002-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,10.0
0787-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,5.0
0787-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,BY BIKE,5.0
0787-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,10.0
0789-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,60.0
0789-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,60.0
0789-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,25.0
0789-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,60.0
0790-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,BY BIKE,20.0
0791-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,30.0
0791-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,30.0
0791-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,20.0
0791-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,20.0
0793-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,BY BIKE,15.0
0793-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,10.0
0794-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,10.0
0796-001-002,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,30.0
0796-001-002,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,30.0
0797-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,25.0
0797-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,25.0
0797-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,25.0
0797-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,30.0
0797-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,30.0
0797-002-002,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,10.0
0797-002-002,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,10.0
0797-002-002,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,10.0
0798-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,BY PUBLIC VEHICLE/MINIBUS,20.0
0798-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,BY BIKE,15.0
0798-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,15.0
0800-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MAGHARIBI,ON FOOT,10.0
0803-001-002,RURAL,MJINI MAGHARIBI UNGUJA,MJINI,ON FOOT,25.0
0806-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MJINI,OTHER (SPECIFY),10.0
0809-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MJINI,BY PRIVATE CAR/VEHICLE,20.0
0809-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MJINI,BY PRIVATE CAR/VEHICLE,20.0
0809-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MJINI,BY PRIVATE CAR/VEHICLE,20.0
0813-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MJINI,BY BIKE,10.0
0816-003-001,RURAL,MJINI MAGHARIBI UNGUJA,MJINI,ON FOOT,30.0
0816-005-001,RURAL,MJINI MAGHARIBI UNGUJA,MJINI,ON FOOT,30.0
0816-005-001,RURAL,MJINI MAGHARIBI UNGUJA,MJINI,ON FOOT,20.0
0822-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MJINI,ON FOOT,30.0
0824-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MJINI,ON FOOT,30.0
0824-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MJINI,BY PUBLIC VEHICLE/MINIBUS,30.0
0824-001-001,RURAL,MJINI MAGHARIBI UNGUJA,MJINI,ON FOOT,20.0
0828-001-001,RURAL,KASKAZINI PEMBA,WETE,BY BIKE,15.0
0828-001-001,RURAL,KASKAZINI PEMBA,WETE,ON FOOT,5.0
0828-001-001,RURAL,KASKAZINI PEMBA,WETE,ON FOOT,5.0
0829-001-001,RURAL,KASKAZINI PEMBA,WETE,ON FOOT,45.0
0829-001-001,RURAL,KASKAZINI PEMBA,WETE,ON FOOT,45.0
0829-001-001,RURAL,KASKAZINI PEMBA,WETE,ON FOOT,45.0
0834-001-001,RURAL,KASKAZINI PEMBA,WETE,ON FOOT,30.0
0834-001-001,RURAL,KASKAZINI PEMBA,WETE,ON FOOT,5.0
0834-001-001,RURAL,KASKAZINI PEMBA,WETE,ON FOOT,3.0
0835-001-001,URBAN,KASKAZINI PEMBA,WETE,BY PUBLIC VEHICLE/MINIBUS,20.0
0839-001-002,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,30.0
0839-002-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,5.0
0840-001-002,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,20.0
0841-001-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,20.0
0841-001-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,20.0
0843-001-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,10.0
0843-001-001,RURAL,KASKAZINI PEMBA,MICHEWENI,BY BIKE,15.0
0844-001-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,15.0
0844-004-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,25.0
0844-004-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,25.0
0844-004-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,25.0
0846-001-001,RURAL,KASKAZINI PEMBA,MICHEWENI,BY PUBLIC VEHICLE/MINIBUS,30.0
0846-001-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,30.0
0847-001-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,10.0
0847-001-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,6.0
0847-004-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,10.0
0850-001-003,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,30.0
0850-001-003,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,30.0
0850-001-003,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,30.0
0850-001-003,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,30.0
0850-001-003,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,30.0
0851-001-001,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,5.0
0851-001-001,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,10.0
0852-001-001,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,60.0
0852-001-001,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,60.0
0854-001-001,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,90.0
0854-001-001,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,90.0
0855-001-001,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,60.0
0855-001-001,RURAL,KUSINI PEMBA,MKOANI,ON FOOT,60.0
0856-001-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,5.0
0856-001-001,RURAL,KASKAZINI PEMBA,MICHEWENI,ON FOOT,5.0
0858-001-001,URBAN,DAR ES SALAAM,KINONDONI,ON FOOT,35.0
